customer_id,first_name,last_name,email,signup_date,status
1,John,Doe,john.doe@example.com,2023-01-15,active
2,Jane,Smith,jane.smith@example.com,2023-02-20,ACTIVE
3,Robert,Johnson,robert.j@example.com,2023-03-10,inactive
4,Emily,Davis,emily.d@example.com,2023-04-05,Active
5,Michael,Brown,michael.b@example.com,2023-05-12,active
6,Aisha,Khan,aisha.khan@example.com,2023-06-01,active
7,Liam,Wilson,LIAM.WILSON@example.com,2023-06-18,active
8,Sophia,Martinez,sophia.martinez@example.com,2023-07-03,INACTIVE
9,Noah,Anderson,noah.anderson@example.com,2023-08-09,active
10,Olivia,Taylor,olivia.taylor@example.com,2023-09-14,active
